Participant,Concept,Color,Rating
2,Mango,23,0
2,Mango,24,0
2,Mango,25,0
2,Mango,26,0
2,Mango,27,0
2,Mango,28,0
2,Mango,29,0
2,Mango,30,0
2,Mango,31,0
2,Mango,32,0
2,Mango,33,0
2,Mango,34,0
2,Mango,35,0
2,Mango,36,0
2,Mango,37,0
2,Mango,38,0
2,Mango,39,0
2,Mango,40,0.4875
2,Mango,41,0
2,Mango,42,0
2,Mango,43,0
2,Mango,44,0
2,Mango,45,0.1
2,Mango,46,0.0275
2,Mango,47,0
2,Mango,48,0
2,Mango,49,0.4175
2,Mango,50,0.535
2,Mango,51,0.7275
2,Mango,52,0.55
2,Mango,53,0.4025
2,Mango,54,0.175
2,Mango,55,0
2,Mango,56,0
2,Mango,57,0.6125
2,Mango,58,0.725
2,Watermelon,1,0
2,Watermelon,2,0.015
2,Watermelon,3,0.015
2,Watermelon,4,0
2,Watermelon,5,0
2,Watermelon,6,0
2,Watermelon,7,0.025
2,Watermelon,8,0
2,Watermelon,9,0.59
2,Watermelon,10,0
2,Watermelon,11,0.005
2,Watermelon,12,0
2,Watermelon,13,0
2,Watermelon,14,0
2,Watermelon,15,0
2,Watermelon,16,0
2,Watermelon,17,0
2,Watermelon,18,0.005
2,Watermelon,19,0.0075
2,Watermelon,20,0
2,Watermelon,21,0.045
2,Watermelon,22,0
2,Watermelon,23,0
2,Watermelon,24,0
2,Watermelon,25,0
2,Watermelon,26,0.0175
2,Watermelon,27,0.0275
2,Watermelon,28,0
2,Watermelon,29,0.5275
2,Watermelon,30,0.5375
2,Watermelon,31,0.6875
2,Watermelon,32,0
2,Watermelon,33,0.6
2,Watermelon,34,0.525
2,Watermelon,35,0
2,Watermelon,36,0.07
2,Watermelon,37,0
2,Watermelon,38,0
2,Watermelon,39,0
2,Watermelon,40,0
2,Watermelon,41,0
2,Watermelon,42,0.325
2,Watermelon,43,0
2,Watermelon,44,0.515
2,Watermelon,45,0.5025
2,Watermelon,46,0.235
2,Watermelon,47,0
2,Watermelon,48,0.5325
2,Watermelon,49,0
2,Watermelon,50,0
2,Watermelon,51,0
2,Watermelon,52,0
2,Watermelon,53,0.045
2,Watermelon,54,0
2,Watermelon,55,0
2,Watermelon,56,0.4075
2,Watermelon,57,0
2,Watermelon,58,0
2,Honeydew,1,0
2,Honeydew,2,0
2,Honeydew,3,0
2,Honeydew,4,0
2,Honeydew,5,0
2,Honeydew,6,0.0075
2,Honeydew,7,0
2,Honeydew,8,0
2,Honeydew,9,0
2,Honeydew,10,0
2,Honeydew,11,0
2,Honeydew,12,0
2,Honeydew,13,0
2,Honeydew,14,0
2,Honeydew,15,0
2,Honeydew,16,0
2,Honeydew,17,0
2,Honeydew,18,0
2,Honeydew,19,0
2,Honeydew,20,0
2,Honeydew,21,0
2,Honeydew,22,0
2,Honeydew,23,0
2,Honeydew,24,0
2,Honeydew,25,0
2,Honeydew,26,0
2,Honeydew,27,0
2,Honeydew,28,0
2,Honeydew,29,0
2,Honeydew,30,0
2,Honeydew,31,0
2,Honeydew,32,0
2,Honeydew,33,0.1375
2,Honeydew,34,0.3525
2,Honeydew,35,0.5
2,Honeydew,36,0.105
2,Honeydew,37,0
2,Honeydew,38,0
2,Honeydew,39,0
2,Honeydew,40,0
2,Honeydew,41,0.0025
2,Honeydew,42,0
2,Honeydew,43,0
2,Honeydew,44,0
2,Honeydew,45,0.4625
2,Honeydew,46,0.5
2,Honeydew,47,0.0975
2,Honeydew,48,0.16
2,Honeydew,49,0.5575
2,Honeydew,50,0
2,Honeydew,51,0.51
2,Honeydew,52,0
2,Honeydew,53,0.2125
2,Honeydew,54,0
2,Honeydew,55,0
2,Honeydew,56,0.39
2,Honeydew,57,0
2,Honeydew,58,0
2,Cantaloupe,1,0
2,Cantaloupe,2,0.195
2,Cantaloupe,3,0.235
2,Cantaloupe,4,0
2,Cantaloupe,5,0
2,Cantaloupe,6,0.305
2,Cantaloupe,7,0
2,Cantaloupe,8,0
2,Cantaloupe,9,0
2,Cantaloupe,10,0
2,Cantaloupe,11,0
2,Cantaloupe,12,0
2,Cantaloupe,13,0.0175
2,Cantaloupe,14,0
2,Cantaloupe,15,0
2,Cantaloupe,16,0
2,Cantaloupe,17,0
2,Cantaloupe,18,0.2775
2,Cantaloupe,19,0.0175
2,Cantaloupe,20,0.0025
2,Cantaloupe,21,0.25
2,Cantaloupe,22,0.325
2,Cantaloupe,23,0
2,Cantaloupe,24,0
2,Cantaloupe,25,0.0325
2,Cantaloupe,26,0
2,Cantaloupe,27,0
2,Cantaloupe,28,0
2,Cantaloupe,29,0.07
2,Cantaloupe,30,0.185
2,Cantaloupe,31,0.035
2,Cantaloupe,32,0.0175
2,Cantaloupe,33,0
2,Cantaloupe,34,0
2,Cantaloupe,35,0.8
2,Cantaloupe,36,0.5175
2,Cantaloupe,37,0
2,Cantaloupe,38,0
2,Cantaloupe,39,0.025
2,Cantaloupe,40,0
2,Cantaloupe,41,0.31
2,Cantaloupe,42,0.4325
2,Cantaloupe,43,0
2,Cantaloupe,44,0.0025
2,Cantaloupe,45,0.715
2,Cantaloupe,46,0.625
2,Cantaloupe,47,0.655
2,Cantaloupe,48,0.6125
2,Cantaloupe,49,0.66
2,Cantaloupe,50,0.5675
2,Cantaloupe,51,0.5925
2,Cantaloupe,52,0.565
2,Cantaloupe,53,0.0025
2,Cantaloupe,54,0
2,Cantaloupe,55,0.8
2,Cantaloupe,56,0.55
2,Cantaloupe,57,0.6425
2,Cantaloupe,58,0.5825
2,Grapefruit,1,0
2,Grapefruit,2,0
2,Grapefruit,3,0
2,Grapefruit,4,0
2,Grapefruit,5,0
2,Grapefruit,6,0
2,Grapefruit,7,0
2,Grapefruit,8,0
2,Grapefruit,9,0
2,Grapefruit,10,0
2,Grapefruit,11,0
2,Grapefruit,12,0
2,Grapefruit,13,0
2,Grapefruit,14,0
2,Grapefruit,15,0
2,Grapefruit,16,0
2,Grapefruit,17,0
2,Grapefruit,18,0
2,Grapefruit,19,0
2,Grapefruit,20,0
2,Grapefruit,21,0
2,Grapefruit,22,0
2,Grapefruit,23,0
2,Grapefruit,24,0
2,Grapefruit,25,0
2,Grapefruit,26,0
2,Grapefruit,27,0
2,Grapefruit,28,0
2,Grapefruit,29,0
2,Grapefruit,30,0
2,Grapefruit,31,0.64
2,Grapefruit,32,0
2,Grapefruit,33,0
2,Grapefruit,34,0
2,Grapefruit,35,0
2,Grapefruit,36,0
2,Grapefruit,37,0
2,Grapefruit,38,0
2,Grapefruit,39,0
2,Grapefruit,40,0
2,Grapefruit,41,0
2,Grapefruit,42,0.63
2,Grapefruit,43,0.5525
2,Grapefruit,44,0.6025
2,Grapefruit,45,0
2,Grapefruit,46,0
2,Grapefruit,47,0
2,Grapefruit,48,0
2,Grapefruit,49,0
2,Grapefruit,50,0
2,Grapefruit,51,0.2225
2,Grapefruit,52,0.195
2,Grapefruit,53,0.535
2,Grapefruit,54,0
2,Grapefruit,55,0
2,Grapefruit,56,0
2,Grapefruit,57,0.59
2,Grapefruit,58,0
2,Strawberry,1,0
2,Strawberry,2,0
2,Strawberry,3,0
2,Strawberry,4,0
2,Strawberry,5,0
2,Strawberry,6,0
2,Strawberry,7,0
2,Strawberry,8,0
2,Strawberry,9,0
2,Strawberry,10,0
2,Strawberry,11,0
2,Strawberry,12,0
2,Strawberry,13,0
2,Strawberry,14,0
2,Strawberry,15,0
2,Strawberry,16,0
2,Strawberry,17,0
2,Strawberry,18,0
2,Strawberry,19,0.2325
2,Strawberry,20,0
2,Strawberry,21,0
2,Strawberry,22,0
2,Strawberry,23,0.005
2,Strawberry,24,0
2,Strawberry,25,0
2,Strawberry,26,0
2,Strawberry,27,0
2,Strawberry,28,0
2,Strawberry,29,0
2,Strawberry,30,0
2,Strawberry,31,0.51
2,Strawberry,32,0
2,Strawberry,33,0.66
2,Strawberry,34,0.5775
